Longitude,Latitude,trees,greenery,buidling footpring,roads,paving,SUM_AsthmaHospitalizationsAdults_AverageAnnual,Total_Population,SUM_WeightedMHI,MEAN_heightroof,SUM_Volume,RegressionTree_pm,SVM_pm
,,,,,,,,,,,,,
-73.98116501,40.78181654,43370.008,5037.736,136190.252,61476.096,63572.784,10,8166.251925,114302.3411,78.62702057,118221482.4,12.48889753,12.37715166
,,,,,,,,,,,,,
-73.98008926,40.78390186,47031.688,5680.62,126753.484,65583.364,64595.212,10,8138.222832,112189,82.2803817,105761126.2,12.48889753,12.07607471
,,,,,,,,,,,,,
-73.97862043,40.78585666,44523.688,5072.012,134831.752,61879.884,63510.084,10,8138.222791,112189,76.6859389,101448287.9,12.48889753,11.96738953
,,,,,,,,,,,,,
-73.97709733,40.78778599,42635.164,4811.18,134824.228,58689.708,68858.812,10,8138.22204,112189,84.48856238,107079015.2,12.48889753,12.10885662
,,,,,,,,,,,,,
-73.97553467,40.78969721,48439.512,5634.64,133374.604,57571.14,64800.032,10,8138.221062,112189,81.73663113,111508633.7,12.48889753,12.21747443
,,,,,,,,,,,,,
-73.9740991,40.79166626,49712.74,6224.856,132251.02,55757.02,65877.636,10,8138.220742,112189,81.62507581,104600931.9,12.48889753,12.04704568
,,,,,,,,,,,,,
-73.97267067,40.79363821,40070.316,7693.708,131369.876,60751.284,69934.744,10,8138.219755,112189,79.42397572,101712267,12.48889753,11.97410161
,,,,,,,,,,,,,
-73.97122953,40.79560503,41594.344,10347.172,124384.26,62957.488,70360.268,10,8138.219824,112189,86.46654699,101904251.5,12.48889753,11.97897832
,,,,,,,,,,,,,
-73.96979019,40.79757267,51140.628,11413.072,121180.708,57109.668,68968.328,10,8138.219262,112189,80.96185738,91227425.32,12.48889753,11.70212715
,,,,,,,,,,,,,
-73.96843356,40.79957036,53854.284,9627.376,116000.016,61993.58,68334.64,9,7989.75777,109312.162,75.73740723,82149925.07,12.48889753,11.45914441
,,,,,,,,,,,,,
-73.96794966,40.80178006,63645.516,10251.032,112777.236,61138.352,62005.284,9,6601.773746,82416.07989,74.97805779,78137924.04,12.48889753,11.35005886
,,,,,,,,,,,,,
-73.96700896,40.80393465,77748.836,13422.816,106314.12,53227.284,58931.312,8,5564.294249,62312,79.67115262,75310248.66,12.48889753,11.27268795
,,,,,,,,,,,,,
-73.96556671,40.80590104,65335.908,22017.732,107852.36,52565.172,61874.032,8,5564.294004,62312,85.33116431,88253944.9,12.48889753,11.62319941
,,,,,,,,,,,,,
-73.96413188,40.80787064,65423.688,35127.048,98418.936,45271.908,65403.624,8,5564.293471,62312,91.34826531,77724453.7,12.48889753,11.33876837
,,,,,,,,,,,,,
-73.962697,40.80984028,69181.508,32360.724,89562.352,49359.948,69352.052,8,5564.293295,62312,118.1418374,99213810.65,12.48889753,11.9102759
,,,,,,,,,,,,,
-73.96126895,40.81181277,73323.052,21913.232,93559.268,56924.912,64099.464,8,5564.292967,62312,102.1412075,96305347.53,12.48889753,11.83516925
,,,,,,,,,,,,,
-73.95983116,40.81378114,81974.816,24205.544,86678.152,61073.144,55886.6,8,5548.782711,61834.69237,86.8408742,59749000.45,12.48889753,10.84265441
,,,,,,,,,,,,,
-73.95842591,40.8157631,61853.132,16967.456,93484.028,69285.172,68229.304,9,5131.381837,48989.9087,71.70182473,64072417.76,12.48889753,10.96253241
,,,,,,,,,,,,,
-73.95695977,40.81771881,36768.116,17518.38,109116.392,68351.36,78068.188,10,4715.453597,36190.44556,85.38335127,75195546.76,12.48889753,11.26954199
,,,,,,,,,,,,,
-73.95552902,40.81969026,39006.924,15522.848,109542.752,65040.8,80707.44,10,4696.65665,35612,74.85858976,93231201.12,12.48889753,11.75490155
,,,,,,,,,,,,,
-73.95407589,40.82165199,42621.788,12840.124,100357.62,62659.036,91322.968,11,5510.227327,41414.99247,60.06085296,46338498.84,12.48889753,10.472141
,,,,,,,,,,,,,
-73.95263801,40.82362048,45705.792,11332.816,99657.052,61602.332,91329.656,14,6790.572904,50547.37335,57.11628517,54484622.44,12.48889753,10.69676992
,,,,,,,,,,,,,
-73.95120319,40.82559026,50214.34,13154.46,98538.484,68365.572,79372.348,14,6915.998184,51442,56.44342858,50494938.68,12.48889753,10.58651162
,,,,,,,,,,,,,
-73.94976314,40.82755787,59533.232,11344.52,104408.876,63390.536,70213.132,14,6915.997624,51442,54.26217092,43484786.1,12.48889753,10.39401605
,,,,,,,,,,,,,
-73.94832733,40.82952728,67971.816,14361.644,104044.38,58700.576,64565.952,14,6915.997674,51442,54.06130869,50006382.05,12.48889753,10.5730381
,,,,,,,,,,,,,
-73.94688946,40.83149585,75198.2,26397.536,92207.456,54558.196,61459.376,13,7089.546011,51383.04924,56.2222853,37692640.32,12.48889753,10.23675311
,,,,,,,,,,,,,
-73.94545351,40.83346524,70509.076,24568.368,95099.18,57479.18,61987.728,13,8074.764977,51048.39032,66.0175631,49557514.83,12.48889753,10.56066553
,,,,,,,,,,,,,
-73.944009,40.835431,29017.56,7020.728,130298.96,58240.776,85065.508,13,8567.553781,50881,62.00943157,64244721.59,12.48889753,10.96730792
,,,,,,,,,,,,,
-73.94257259,40.83740022,23703.108,7562.456,128716.412,60421.064,89548.14,13,8567.554016,50881,62.62587562,62450258.53,12.48889753,10.91756354
,,,,,,,,,,,,,
-73.94113761,40.83937005,25833.236,9084.812,125501.156,65623.492,83909.32,13,8567.553872,50881,78.68418938,96241058.36,12.48889753,11.83349988
,,,,,,,,,,,,,
-73.93931378,40.84163484,27020.356,7673.644,123172.06,72101.656,79853.884,13,8567.553338,50881,60.21718458,91233050.37,12.48889753,11.70227548
,,,,,,,,,,,,,
-73.93919185,40.84310114,27521.956,4100.58,129024.06,68507.692,80664.804,13,8567.553202,50881,61.05370759,56847565.42,12.48889753,10.76221598
,,,,,,,,,,,,,
-73.93871039,40.84532188,28553.58,6168.008,123406.14,67061.412,84584.808,13,8567.553495,50881,59.96076564,51433735.73,12.48889753,10.61242131
,,,,,,,,,,,,,
-73.9380527,40.84751683,20764.568,2192.828,128817.568,78318.988,79725.976,13,8567.553435,50881,65.25664808,66779731.49,12.48889753,11.03751978
,,,,,,,,,,,,,
-73.93655318,40.84941086,15237.772,5085.388,137789.52,74840.392,76689.624,11,7933.306647,51963.96417,64.56830446,70588352.34,12.48889753,11.14277861
,,,,,,,,,,,,,
-73.93512808,40.8513589,26908.332,7778.144,129151.968,63903.004,81903.756,8,6944.837498,53651.75475,55.1258543,50423847.54,12.48889753,10.58455083
,,,,,,,,,,,,,
-73.93406738,40.85346108,48422.792,13618.44,116794.216,54709.512,76101.08,8,6807.649704,53886,52.79244269,48130313.45,12.48889753,10.52137049
,,,,,,,,,,,,,
-73.93318862,40.85560759,65194.624,15092.308,108562.124,49002.976,71966.224,8,6807.649756,53886,55.23998947,48622588.14,12.48889753,10.53491639
,,,,,,,,,,,,,
-73.93211913,40.85770642,95022.268,21363.98,83023.996,44841.368,65566.644,8,6807.650155,53886,59.64695265,40976949.41,12.48889753,10.32568948
,,,,,,,,,,,,,
-73.93125802,40.85954628,117516.52,26822.224,66854.92,40310.248,58315.18,8,6807.649884,53886,59.11172828,29368981.12,12.48889753,10.01476875
,,,,,,,,,,,,,
-73.93018382,40.86164048,113978.568,25910.984,69731.596,44349.8,55850.652,8,6807.650058,53886,54.77597015,27240174.63,12.48889753,9.95892457
,,,,,,,,,,,,,
-73.93004596,40.86337316,130216.196,26028.024,64917.908,42553.236,43556.436,8,6807.650175,53886,57.00846508,25859671.55,12.48889753,9.922938973
,,,,,,,,,,,,,
